PhpDig|PhpDig/|
Akregator (KDE Feedreader)|Akregator/|
BlogTraffic Feed-Fetcher|http://www.blogtraffic.de/rss-bot.html|
BlogTraffic Fetcher|http://www.blogtraffic.de/bot.html|
Bloggsi|Bloggsi/|
Google Keyword Tool|Google Keyword Tool|
LinkLift Crawler/Spider|LinkLift|
WebRankSpider (Server4You)|WebRankSpider/|
FeedHub FeedFetcher|FeedHub|
Netvibes|Netvibes|
FollowSite Bot|FollowSite Bot|
RSS-SPIDER|RSS-SPIDER|
BotOnParade|BotOnParade|
FeedValidator|FeedValidator/|
WolframAlpha Research|Wolfram Research|
WolframAlpha|Wolfram|
-----|-----|-----
AboutUs|AboutUsBot|www.aboutusbot.org
AideRSS|aiderss.com|
AltaVista|Scooter-|
Archive.org|archive.org_bot|
Ask.com/Teoma|Jeeves/Teoma|
BackType|kame|support@backtype.com
Baidu|Baiduspider|
Baidu|Baiduspider+|
BecomeBot|BecomeBot|
BigBellyBot|BigBellyBot|
Biz360|Biz360|
Blogged|blogged_crawl|
Bloggsi/|Bloggsi|http://bloggsi.com/
Bloglines|Bloglines|
BlogPulse|BlogPulse|
BlogScope|BlogScope|http://www.blogscope.net/
BlogShares.com|Zipping Along V|
BlogsNow|BlogsNowBot|
Bluecoat proxy|Bluecoat|
Bookmark Sync2it|sync2it.com|
Browsershots|Browsershots|http://Browsershots.org/
BuzzBot|BuzzBot|http://www.buzzlogic.com
Camdiscover|Camcrawler|www.camdiscover.com
CatchBot|CatchBot|
Cazoodle|CazoodleBot|http://www.cazoodle.com/
CCBot|CCBot|http://www.commoncrawl.org/bot.html
ConveraCrawler|ConveraCrawler|http://ews.converasearch.com/crawl.htm
Cuil|Twiceler|
cURL|curl|
discobot|discobot|
DiscoveryEngine|disco/Nutch|
DotBot|DotBot|
EnaBall|EnaBot|
Exabot|Exabot|
Fastsearch|FASTMetaWebCrawler|www.fastsearch.com
Feed::Find|Feed::Find|
FeedBurner|FeedBurner|
FeedSpider|FeedSpider/|
Feedster|Feedster Crawler|
Feedster|Feedster|
Gaisbot|Gaisbot|
Galbot|galbot|http://www.galbot.com/bot.html
Generic libwww-perl|libwww|
Gigablast|http://www.gigablast.com/spider.html|
Gigabot|Gigabot|
Google AdSense|Mediapartners-Google|
Google App Engine|AppEngine-Google|
Google Desktop|GoogleDesktop|
Google Feedfetcher|Feedfetcher-Google|
Google Images|Googlebot-Image|
Google Mobile|Googlebot-Mobile|
Google Sitemaps|Google-Sitemaps|
Google Labs|Python-urllib|
Google|Googlebot|
Google|googlebot|
DoCoMo|DoCoMo|
Grazr|Grazr/v|http://grazr.com/
Grub crawler|Grub.org crawler|
Guruji|GurujiBot|
Harry|Harry|
Hatena|Hatena|
HatenaScreenshot|HatenaScreenshot|
Heritrix|heritrix|
Hive Spy|HiveSpy|
HMSE_Robot|HMSE_Robot|
Horizon|Horizon|
ICC-Crawler|ICC-Crawler|
Icerocket|BlogSearch|
ichiro|ichiro|
Ilial/Nutch|ilial/Nutch|
Indian Language Web|IIITBOT|webkhoj.iiit.net
Indy Library|IndyLibrary|
IRLbot|IRLbot|
ISC Systems iRc Search|ISCSystems|
Jakarta Commons|JakartaCommons|
Java|Java/|
Jyxobot/1|jyxo.cz|http://jyxo.cz
KaloogaBot|KaloogaBot|
KiwiStatus|KiwiStatus|
LarBin|larbin_|
LargeSmall|LargeSmallCrawler|
LinkWalker|LinkWalker|
LiteFinder|LiteFinder|
Livedoor|livedoorScreenShot|
llssbot|llssbot|
LOGICIEL|LOGICIEL|
LookSmart|grub-client|
magpie-crawler|+http://www.brandwatch.net|
MagpieRSS|MagpieRSS|http://magpierss.sf.net
Majestic-12|MJ12bot|http://www.majestic12.co.uk/projects/dsearch/mj12bot.php
McBot|McBot|
Megite|Megite2.0|
METASpider|METASpider|
Micosi JP|micosi.jp|
Micro$oft Bot |MSRBOT|
Microsoft URL Control|MicrosoftURLControl|
MLBot|www.metadatalabs.com/mlbot|
Moreover|Moreoverbot|
MP3 Bot|http://mp3realm.org/mp3bot/|
MSN Media|msnbot-media/|
MSN Mobile|MSMOBOT|
MSN (libra)|librabot/|
MSN|msnbot/|
Naver|NaverBot|
Naver|naver.com|
Naver|Cowbot|
Netcraft Web Server Survey|Netcraft|
NetSeer|Netseer|http://www.netseer.com
Netseer Teemer|Teemer|
Neugierig|Neugierig|
newmoni|newmoni|
NewsFire|NewsFire|
NG 2.0|NG/2.0|
Nutch|UniversityofEdinburgh/Nutch|
OpenID|libopkele|
OrangeSpider|OrangeSpider|
PDFBot|PDFBot|crawler@pdfind.com
PHP version tracker Nexen.net|www.nexen.net|
picsearch|www.picsearch.com|
PlantyNet|PlantyNet|
Plonebot|Plonebot|Layered Technologies
PostRank|postrank.com|
Radian6|R6_CommentReader|
Radian6|R6_FeedFetcher|
RadianRss|radiarss|www.radian6.com
relevantNOISE|www.relevantnoise.com|
Rivva|"compatible; Rivva;"|http://rivva.de/
Runnk|http://www.runnk.com/|
Runnk|runnk|http://www.runnk.com
ScoutJet|www.scoutjet.com|
ScSpider|ScSpider|
Searchme.com|searchme.com|
shelob|shelob|
SimplePie|SimplePie/|
Snapbot|Snap|
Sogou|Sogou|http://www.sogou.com/docs/help/webmasters.htm#07
Sosospider|soso.com|
Speedy|http://www.entireweb.com/about/search_tech/speedy_spider/|
Sphere|SphereScout|
Spinn3r|Spinn3r|http://spinn3r.com/robot
SpokeSpider|SpokeSpider|
Steeler|Steeler|http://www.tkl.iis.u-tokyo.ac.jp/~crawler/
Synoo|Synoobot|
Tailrank|Tailrank|http://www.tailrank.com/
Technorati|Technoratibot|
TopBlogsInfo|TopBlogsInfo|topblogsinfo@gmail.com
Turnitin|TurnitinBot|http://www.turnitin.com/robot/crawlerinfo.html
Twingly|TwinglyRecon|
Twitturls|http://twitturls.com|
Twitturly|Twitturly|
UMBC Memeta|UMBC-Memeta|
UniversalFeedParser|UniversalFeedParser/|
URI::Fetch|URI::Fetch|
urlfan|urlfan-bot|http://www.urlfan.com/site/bot/350.html
VadixBot|VadixBot|
Vagabondo|wise-guys|
vBSEO|vBSEO|
Visvo|Visvo|
Voila|VoilaBot|
W3C Validator|W3C_Validator|
WebAlta|WebAltaCrawler/|
Weive|weivel|http://www.weive.com/page/view/weivel
Wells Search|Wells|
Wget|Wget/1.|
Whitevector|Whitevector|http://www.whitevector.com/crawler
WikioFeedBot 1.0|Wikio|http://wikio.de/
Windows Live Feed Search|Crawler/1.0|
WordPress|WordPress|
Worio|woriobot|
Xenu Link Sleuth|XenuLink|
xMind|xMind|
YaCy|yacybot|
Yahoo FeedSeeker|YahooFeedSeeker|
Yahoo!|MMCrawler|
Yahoo!|Yahoo-Test/4.0|
Yahoo! Japan|Y!J-|
YahooCacheSystem|YahooCacheSystem|
Yahoo-Yahoo-YSM|Yahoo-Yahoo-YSM|mailto:vertical-crawl-support@yahoo-inc.com
Yahoo!|slurp@inktomi|
Yahoo!|Yahoo!Slurp|
Yandex|yandex|
Yandex|Yandex|
Yanga|Yanga|
YodaoBot|YodaoBot|
YoudaoBot|YoudaoBot|
Alexa|ia_archiver|
GreenIvory (french)|GreenIvory|http://greenivory.fr
Nutch/Lucene|/Nutch-1.0|http://lucene.apache.org/nutch/
FollowSite Bot|followsite.com/bot|
PING: blo.gs|ping.blo.gs|
PING: wordblog.de|ping.wordblog.de/ping|
FriendFeedBot|FriendFeedBot/|
MetaTagRobot|MetaTagRobot/|
SpyDom.de WebAnalyzer|SpyDom.de|
Feedreader 3.14 (Powered by Newsbrain)|Feedreader 3.14 (Powered by Newsbrain)|
WDG SiteValidator|WDG_SiteValidator/|
Jigsaw (W3C Validator: CSS)|Jigsaw/|
SiteGuardBot|siteguard.com|
